filename,variant,section,mode,tp,fp,fn,precision,recall,f1
1066684_10K_2020_0001104659-21-042359.json,trf_aug,item_7,strict,23,0,0,1.0,1.0,1.0
1066684_10K_2020_0001104659-21-042359.json,trf_aug,item_7,relaxed,23,0,0,1.0,1.0,1.0
1066684_10K_2020_0001104659-21-042359.json,trf_aug,item_10,strict,9,27,9,0.25,0.5,0.3333333333333333
1066684_10K_2020_0001104659-21-042359.json,trf_aug,item_10,relaxed,10,26,8,0.2777777777777778,0.5555555555555556,0.3703703703703704
1082324_10K_2020_0001140361-21-008678.json,sm_base,item_7,strict,0,0,50,0.0,0.0,0.0
1082324_10K_2020_0001140361-21-008678.json,sm_base,item_7,relaxed,0,0,50,0.0,0.0,0.0
1082324_10K_2020_0001140361-21-008678.json,sm_base,item_10,strict,0,2,0,0.0,0.0,0.0
1082324_10K_2020_0001140361-21-008678.json,sm_base,item_10,relaxed,0,2,0,0.0,0.0,0.0
1082324_10K_2020_0001140361-21-008678.json,sm_aug,item_7,strict,44,0,6,1.0,0.88,0.9361702127659575
1082324_10K_2020_0001140361-21-008678.json,sm_aug,item_7,relaxed,44,0,6,1.0,0.88,0.9361702127659575
1082324_10K_2020_0001140361-21-008678.json,sm_aug,item_10,strict,0,0,0,0.0,0.0,0.0
1082324_10K_2020_0001140361-21-008678.json,sm_aug,item_10,relaxed,0,0,0,0.0,0.0,0.0
1082324_10K_2020_0001140361-21-008678.json,trf_base,item_7,strict,0,0,50,0.0,0.0,0.0
1082324_10K_2020_0001140361-21-008678.json,trf_base,item_7,relaxed,0,0,50,0.0,0.0,0.0
1082324_10K_2020_0001140361-21-008678.json,trf_base,item_10,strict,0,1,0,0.0,0.0,0.0
1082324_10K_2020_0001140361-21-008678.json,trf_base,item_10,relaxed,0,1,0,0.0,0.0,0.0
1082324_10K_2020_0001140361-21-008678.json,trf_aug,item_7,strict,44,0,6,1.0,0.88,0.9361702127659575
1082324_10K_2020_0001140361-21-008678.json,trf_aug,item_7,relaxed,44,0,6,1.0,0.88,0.9361702127659575
1082324_10K_2020_0001140361-21-008678.json,trf_aug,item_10,strict,0,0,0,0.0,0.0,0.0
1082324_10K_2020_0001140361-21-008678.json,trf_aug,item_10,relaxed,0,0,0,0.0,0.0,0.0
1327567_10K_2021_0001327567-21-000029.json,sm_base,item_7,strict,0,0,291,0.0,0.0,0.0
1327567_10K_2021_0001327567-21-000029.json,sm_base,item_7,relaxed,0,0,291,0.0,0.0,0.0
1327567_10K_2021_0001327567-21-000029.json,sm_base,item_10,strict,0,3,0,0.0,0.0,0.0
1327567_10K_2021_0001327567-21-000029.json,sm_base,item_10,relaxed,0,3,0,0.0,0.0,0.0
1327567_10K_2021_0001327567-21-000029.json,sm_aug,item_7,strict,134,41,157,0.7657142857142857,0.46048109965635736,0.575107296137339
1327567_10K_2021_0001327567-21-000029.json,sm_aug,item_7,relaxed,171,4,120,0.9771428571428571,0.5876288659793815,0.7339055793991416
1327567_10K_2021_0001327567-21-000029.json,sm_aug,item_10,strict,0,1,0,0.0,0.0,0.0
1327567_10K_2021_0001327567-21-000029.json,sm_aug,item_10,relaxed,0,1,0,0.0,0.0,0.0
1327567_10K_2021_0001327567-21-000029.json,trf_base,item_7,strict,0,0,291,0.0,0.0,0.0
1327567_10K_2021_0001327567-21-000029.json,trf_base,item_7,relaxed,0,0,291,0.0,0.0,0.0
1327567_10K_2021_0001327567-21-000029.json,trf_base,item_10,strict,0,1,0,0.0,0.0,0.0
1327567_10K_2021_0001327567-21-000029.json,trf_base,item_10,relaxed,0,1,0,0.0,0.0,0.0
1327567_10K_2021_0001327567-21-000029.json,trf_aug,item_7,strict,134,41,157,0.7657142857142857,0.46048109965635736,0.575107296137339
1327567_10K_2021_0001327567-21-000029.json,trf_aug,item_7,relaxed,171,4,120,0.9771428571428571,0.5876288659793815,0.7339055793991416
1327567_10K_2021_0001327567-21-000029.json,trf_aug,item_10,strict,0,0,0,0.0,0.0,0.0
1327567_10K_2021_0001327567-21-000029.json,trf_aug,item_10,relaxed,0,0,0,0.0,0.0,0.0
1353499_10K_2020_0001344676-21-000004.json,sm_base,item_7,strict,0,0,31,0.0,0.0,0.0
1353499_10K_2020_0001344676-21-000004.json,sm_base,item_7,relaxed,0,0,31,0.0,0.0,0.0
1353499_10K_2020_0001344676-21-000004.json,sm_base,item_10,strict,10,22,25,0.3125,0.2857142857142857,0.29850746268656714
1353499_10K_2020_0001344676-21-000004.json,sm_base,item_10,relaxed,12,20,23,0.375,0.34285714285714286,0.3582089552238806
1353499_10K_2020_0001344676-21-000004.json,sm_aug,item_7,strict,28,2,3,0.9333333333333333,0.9032258064516129,0.9180327868852459
1353499_10K_2020_0001344676-21-000004.json,sm_aug,item_7,relaxed,29,1,2,0.9666666666666667,0.9354838709677419,0.9508196721311476
1353499_10K_2020_0001344676-21-000004.json,sm_aug,item_10,strict,21,9,14,0.7,0.6,0.6461538461538462
